Files in xlsx: ['xl/worksheets/sheet1.xml']
Shared strings (0): []

=== xl/worksheets/sheet1.xml (11 rows) ===
  Row 1: ['╪º╪│┘à ╪º┘ä╪╢┘è┘ü', '╪╣╪»╪» ╪º┘ä╪ú╪┤╪«╪º╪╡', '┘å┘ê╪╣ ╪º┘ä╪¬╪░┘â╪▒╪⌐', '╪º┘ä┘à╪│┘à┘ë ╪º┘ä┘ê╪╕┘è┘ü┘è', '╪º┘ä╪¼┘ç╪⌐']
  Row 2: ['╪º┘ä╪┤┘è╪« ┘à╪¡┘à╪» ╪¿┘å ╪╣╪¿╪»╪º┘ä┘ä┘ç', '4', 'vip', '╪▒╪ª┘è╪│ ┘à╪¼┘ä╪│ ╪º┘ä╪Ñ╪»╪º╪▒╪⌐', '┘à╪¼┘à┘ê╪╣╪⌐ ╪º┘ä┘ü┘ä╪º╪¡ ╪º┘ä┘é╪º╪¿╪╢╪⌐']
  Row 3: ['╪º┘ä┘à┘ç┘å╪»╪│ ╪ú╪¡┘à╪» ╪º┘ä╪┤┘à╪▒┘è', '2', 'vip', '╪º┘ä┘à╪»┘è╪▒ ╪º┘ä╪¬┘å┘ü┘è╪░┘è', '╪┤╪▒┘â╪⌐ ╪º┘ä╪¿┘å╪º╪í ╪º┘ä╪¡╪»┘è╪½']
  Row 4: ['╪º┘ä╪»┘â╪¬┘ê╪▒╪⌐ ╪│╪º╪▒╪⌐ ╪º┘ä╪╣╪¬┘è╪¿┘è', '1', 'vip', '╪º╪│╪¬╪┤╪º╪▒┘è╪⌐', '┘à╪│╪¬╪┤┘ü┘ë ╪º┘ä┘à┘ä┘â ┘ü┘è╪╡┘ä']
  Row 5: ['╪╣╪¿╪»╪º┘ä╪▒╪¡┘à┘å ╪º┘ä╪»┘ê╪│╪▒┘è', '3', 'normal', '┘à╪»┘è╪▒ ╪º┘ä┘à╪¿┘è╪╣╪º╪¬', '╪┤╪▒┘â╪⌐ ╪º┘ä┘å┘ê╪▒ ┘ä┘ä╪¬╪¼╪º╪▒╪⌐']
  Row 6: ['╪«╪º┘ä╪» ╪º┘ä┘à╪º┘ä┘â┘è', '2', 'normal', '┘à╪¡╪º╪│╪¿', '┘à╪ñ╪│╪│╪⌐ ╪º┘ä╪ú┘à╪º┘å']
  Row 7: ['┘ü┘ç╪» ╪º┘ä┘é╪¡╪╖╪º┘å┘è', '5', 'vip', '╪▒╪¼┘ä ╪ú╪╣┘à╪º┘ä', '╪º┘ä┘é╪¡╪╖╪º┘å┘è ┘ä┘ä╪º╪│╪¬╪½┘à╪º╪▒']
  Row 8: ['┘å┘ê╪▒╪⌐ ╪º┘ä╪¡╪▒╪¿┘è', '2', 'normal', '┘à╪╡┘à┘à╪⌐', '╪º╪│╪¬┘ê╪»┘è┘ê ╪Ñ╪¿╪»╪º╪╣']
  Row 9: ['╪│┘ä╪╖╪º┘å ╪º┘ä╪╣┘å╪▓┘è', '1', 'normal', '┘à┘ç┘å╪»╪│ ╪¿╪▒┘à╪¼┘è╪º╪¬', '╪¬┘é┘å┘è╪⌐ ╪º┘ä┘à╪│╪¬┘é╪¿┘ä']
  Row 10: ['┘à╪º╪¼╪» ╪º┘ä╪║╪º┘à╪»┘è', '3', 'vip', '┘å╪º╪ª╪¿ ╪º┘ä╪▒╪ª┘è╪│', '╪¿┘å┘â ╪º┘ä╪▒┘è╪º╪╢']
  Row 11: ['┘ç┘å╪» ╪º┘ä╪▓┘ç╪▒╪º┘å┘è', '2', 'normal', '┘à╪»┘è╪▒╪⌐ ╪º┘ä╪¬╪│┘ê┘è┘é', '┘ê┘â╪º┘ä╪⌐ ╪▒┘è╪º╪»╪⌐']

